License Type,Business Name,Street Address,Status,City,State,Zip Code,Phone No.,year,LicenceNumber
Restaurant (A-M) License,THE LANDING CATERING,2801 S MICHIGAN ST,RENEWED,SOUTH BEND,IN,46614,574-299-9126,2022,RST2022-476
Restaurant (N-Z) License,NOM NOM PHO,211 N MAIN ST,EXPIRED,SOUTH BEND,IN,46601,574-404-6480,2022,RST2022-435
Alarm Agent License,WALGREEN CO CENTRAL STATION,1411 LAKE COOK RD.,ACTIVE,DEERFIELD,IL,60015,800-695-9904,2023,ALR2023-017
Restaurant (A-M) License,PAPA JOHN'S,1318 N IRONWOOD DR,ACTIVE,SOUTH BEND,IN,46615,330-533-0900,2023,RST2023-239
Restaurant (A-M) License,CJ'S PUB,236 S  MICHIGAN ST,RENEWED,SOUTH BEND,IN,46601,574-233-5981,2020,4056RESTAM2020
Restaurant (N-Z) License,ROCCO'S RESTAURANT,537 N SAINT LOUIS BLVD,READY2ISSU,SOUTH BEND,IN,46617,574-233-2464,2023,RST2023-248
Alarm Agent License,SCHNABLE ALARM SYSTEMS INC.,109 2nd St,RENEWED,LAPORTE,IN,46352,219-362-8969,2022,ALR2022-009
Restaurant (N-Z) License,R K CITY FOOD MART,301 N LAFAYETTE BLVD,RENEWED,SOUTH BEND,IN,46601,574-287-5754,2020,RST2020-062
Restaurant (A-M) License,CHINA HOUSE,2222 MISHAWAKA AVE,ACTIVE,SOUTH BEND,IN,46615,574-232-9828,2023,RST2023-111
Massage Therapist License,XUE HONG ZHANG,168 W CATALPA,ACTIVE,MISHAWAKA,IN,46545,NA,2023,MST2023-004
Lawn Parking License,805 NAPOLEON BLVD.,805 NAPOLEON BLVD.,INACTIVE,SOUTH BEND,IN,46617,NA,2021,LWN2021-020
Restaurant (N-Z) License,TARGET STORE T-1902,1400 E IRELAND RD,RENEWED,SOUTH BEND,IN,46614,574-299-1402,2022,RST2022-342
Secondhand Store License,Muebleria Alejandro,"1708 S MICHIGAN ST, SOUTH BEND, 46613",RENEWED,SOUTH BEND,IN,46613,574-876-8434,2021,SHN2021-002
Restaurant (A-M) License,Dave's Hot Chicken,1124 E. Angela Blvd. Suite 101,RENEWED,South Bend,IN,46617,574-381-4030,2022,RST2022-541
Open Air Business License,COMMUNITY CENTER,3002 W WESTERN AVE,ACTIVE,SOUTH BEND,IN,46619,574-233-9538,2023,OAB2023-003
Automotive Repair License,LIL J BUENO'S BODY SHOP & AUTO REPAIR,1636 PRAIRIE AVE,ACTIVE,SOUTH BEND,IN,46613,574-234-6880,2023,AUT2023-006
Restaurant (A-M) License,BURGER KING #7055,2171 SOUTH BEND AVE,ACTIVE,South Bend,IN,46637,574-273-2220,2023,RST2023-167
Restaurant (A-M) License,Edible Arrangements,"123 S MICHIGAN ST, SOUTH BEND, 46601",RENEWED,SOUTH BEND,IN,46601,574-234-8281,2022,RST2022-469
Restaurant (N-Z) License,Okasan Reman & Bao,1837 South Bend Ave.,RENEWED,South Bend,IN,46637,574-999-3133,2022,RST2022-439
Restaurant (A-M) License,CARNICERIA LOS GALLOS,2024 W WESTERN AVE,RENEWED,SOUTH BEND,IN,46619,574-931-2078,2022,RST2022-400
Restaurant (A-M) License,BURGER KING #3722,121 W  LASALLE AVE,RENEWED,MISHAWAKA,IN,46545,574-233-8651,2020,703RESTAM2020
Alarm Agent License,EMERGENCY 24 INC,"999 E Touhy Ave, Ste 500",ACTIVE,DES PLAINES,IL,60018,800-827-3624,2023,ALR2023-018
Restaurant (N-Z) License,Soulful kitchen LLC,123 N MICHIGAN ST,RENEWED,SOUTH BEND,IN,46680,574-514-6308,2020,RST2020-064
Lawn Parking License,1105 N. ST. LOUIS BLVD.,1105 N. ST. LOUIS BLVD.,RENEWED,SOUTH BEND,IN,46617,NA,2022,LWN2022-058
Restaurant (A-M) License,CHINA HOUSE,2222 MISHAWAKA AVE,RENEWED,SOUTH BEND,IN,46615,574-232-9828,2021,RST2021-059
Restaurant (A-M) License,MC DONALD'S 574,2001 S MICHIGAN ST,RENEWED,SOUTH BEND,IN,46613,574-400-0775,2021,RST2021-025
Restaurant (N-Z) License,SAINT CASIMIR CATHOLIC CHURCH,1308 DUNHAM ST,RENEWED,SOUTH BEND,IN,46619,574-288-5708,2022,RST2022-182
Alarm Agent License,"SECURITAS ELECTRONIC SECURITY, INC.",3800 Tabs Dr,RENEWED,UNIONTOWN,OH,44685,330-899-5100,2022,ALR2022-044
Restaurant (N-Z) License,Noodles & Company,"1233 N EDDY ST 101, SOUTH BEND, IN, 46617",ACTIVE,South Bend,IN,46617,574-208-1551,2023,RST2023-263
Restaurant (A-M) License,Linebacker Lounge,"1631 SOUTH BEND AVE, SOUTH BEND, IN, 46617",RENEWED,SOUTH BEND,IN,46617,574-289-0186,2022,RST2022-083
Restaurant (A-M) License,Brunos Pizza,"2202 MISHAWAKA AVE, SOUTH BEND, IN, 46615",RENEWED,SOUTH BEND,IN,46615,574-256-9000,2022,RST2022-277
Restaurant (A-M) License,Fatbird,"103 W COLFAX AVE, SOUTH BEND, IN, 46601",ACTIVE,South Bend,IN,46601,574-383-5708,2023,RST2023-076
Massage Establishment License,WELL BEING MASSAGE LLC,115 N  WILLIAM ST,CLOSED,SOUTH BEND,IN,46601,574-383-9368,2020,8475MSGEST2020
Restaurant (N-Z) License,TEMPLE BETH-EL,305 W MADISON ST,RENEWED,SOUTH BEND,IN,46601,574-234-4402,2021,RST2021-296
Restaurant (A-M) License,GOLDEN DRAGON,3227 W SAMPLE ST,ACTIVE,SOUTH BEND,IN,46619,574-232-3388,2023,RST2023-118
Massage Establishment License,HAIR CRAFTERS,602 LINCOLN WAY E,RENEWED,SOUTH BEND,IN,46601,574-288-2448,2020,628MSGEST2020
Automotive Repair License,CALIFORNIA AUTO REPAIR,1601 W  INDIANA AVE,RENEWED,SOUTH BEND,IN,46613,574-251-0524,2020,1630AUTO2020
Arborist License,DOUGLAS LANDSCAPE INC,23590   ARDMORE TRL,RENEWED,SOUTH BEND,IN,46619,574-287-8908,2020,7570ARBOR2020
Restaurant (A-M) License,Hacienda Mexican Restaurant,"4650 MIAMI ST, SOUTH BEND, 46614",RENEWED,South Bend,IN,46614,574-291-2566,2022,RST2022-047
Restaurant (N-Z) License,PURELY PRESSED,"1251 N EDDY ST 103, SOUTH BEND, IN, 46617",EXPIRED,South Bend,IN,46617,574-400-0693,2022,RST2022-217
Open Air Business License,MARTINEZ PRODUCE,2033 Hatch Ave,RENEWED,BENTON HARBOR,MI,49022,269-759-0911,2021,OAB2021-003
Massage Establishment License,SUMMER SPA MASSAGE,3601 E JEFFERSON BLVD,RENEWED,SOUTH BEND,IN,46615,574-383-5035,2022,MSE2022-010
Restaurant (A-M) License,DOMINO'S PIZZA #2654,1627 EDISON RD,EXPIRED,SOUTH BEND,IN,46637,574-271-0300,2022,RST2022-487
Taxi Vehicle License,"UNITED CAB OF SOUTH BEND, LLC",2107 S  MICHIGAN ST,INACTIVE,SOUTH BEND,IN,46613,574-233-9599,2020,TXV2020-007
Lawn Parking License,1921 HARTMAN DR.,1921 HARTMAN DR.,INACTIVE,SOUTH BEND,IN,46617,NA,2022,LWN2022-039
Restaurant (A-M) License,LINDEN GRILL,119 S Michigan St,RENEWED,SOUTH BEND,IN,46601,574-234-7011,2021,RST2021-427
Peddlers and Canvassers License,MATTHEW MASON,2011 CHAPIN ST,ACTIVE,SOUTH BEND,IN,46613,574-703-9455,2023,PDL2023-001
Scrap Metal Dealer License,"ALTERNATIVE TWO, LLC",700 W CHIPPEWA AVE,RENEWED,South Bend,IN,46614,574-299-0559,2022,SCR2022-002
Restaurant (A-M) License,DOCKSIDE NIGHT CLUB,1835 LINCOLN WAY E,READY2ISSU,SOUTH BEND,IN,46613,574-400-0848,2022,RST2022-479
Restaurant (A-M) License,Embassy Suites - Traditions,"1140 E ANGELA BLVD, SOUTH BEND, 46617",RENEWED,South Bend,IN,46617,5744002600,2021,RST2021-172
Restaurant (N-Z) License,YELLOW CAT CAFE,808 E Colfax Ave,RENEWED,SOUTH BEND,IN,46617,574-233-2233,2022,RST2022-497
Restaurant (N-Z) License,Embassy Suites - Amenity Deck,"1140 E ANGELA BLVD, South Bend, IN, 46624",READY2ISSU,South Bend,IN,46624,574-220-1036,2023,RST2023-129
Mobile Food Vendor (A-M) 1 Year License,INDIA GARDEN FOOD TRUCK,615 W. EDISON RD.,EXPIRED,MISHAWAKA,IN,46545,NA,2021,MFV2021-011
Hotel and Motel License,"AVANTI MUSEUM AND GUEST HOUSE,",900   THOMAS ST,RENEWED,SOUTH BEND,IN,46601,NA,2020,6321HOTEL2020
Alarm Agent License,FIFTH THIRD BANK,301 N MAIN ST,ACTIVE,SOUTH BEND,IN,46601,574-245-5000,2023,ALR2023-037
Restaurant (N-Z) License,CHOCOLATE CAFE' - MEMORIAL HOSPITAL,"615 N MICHIGAN ST, SOUTH BEND, IN, 46601",RENEWED,SOUTH BEND,IN,46601,574-233-2577,2021,RST2021-239
Food Vending Machine License,COFFEL VENDING,"1405 S BYRKIT AVE,  MISHAWAKA,  46544",RENEWED,MISHAWAKA,IN,46544,574-255-4321,2020,7065VDGMCH2020
Restaurant (A-M) License,Brunos Pizza,"2202 MISHAWAKA AVE, SOUTH BEND, IN, 46615",RENEWED,SOUTH BEND,IN,46615,574-256-9000,2021,RST2021-004
Restaurant (A-M) License,MC DONALD'S,4711 S. MIAMI ST.,RENEWED,SOUTH BEND,IN,46614,574-291-8838,2021,RST2021-473
Alarm Agent License,VERMILLION SYSTEMS INC.,2214 MIAMI ST,RENEWED,South Bend,IN,46613,574-232-2664,2021,ALR2021-041
Restaurant (A-M) License,FANCY DELIGHTS,1902 SOUTH BEND AVE,EXPIRED,SOUTH BEND,IN,46637,574-404-8222,2022,RST2022-328
Restaurant (N-Z) License,St. Clair's Butcher Shoppe,3601 EDISON RD,READY2ISSU,South Bend,IN,46615,574-217-8828,2023,RST2023-391
Restaurant (N-Z) License,NAVARRE CATERING - DBA PALAIS,105 W  COLFAX AVE,RENEWED,SOUTH BEND,IN,46601,574-235-5612,2020,7653RESTZ2020
Scrap Metal Dealer License,M & M CORE LLC,3109 S GERTRUDE ST,INACTIVE,SOUTH BEND,IN,46614,517-617-8946,2022,SCR2022-004
Restaurant (A-M) License,LA TAQUERIA CHICAGO,2920 W WESTERN AVE,RENEWED,SOUTH BEND,IN,46619,574-234-6775,2022,RST2022-152
Restaurant (A-M) License,MC DONALD'S 574,2001 S  MICHIGAN ST,RENEWED,SOUTH BEND,IN,46637,574-400-0775,2020,7083RESTAM2020
Restaurant (A-M) License,MC DONALD'S 3597,4711 MIAMI ST,RENEWED,MISHAWAKA,IN,46544,574-255-1933,2020,837RESTAM2020
Restaurant (A-M) License,KELLY'S PUB,1150 MISHAWAKA AVE,ACTIVE,SOUTH BEND,IN,46615,574-287-7379,2023,RST2023-042
Restaurant (N-Z) License,PAPA JOHN'S 585,"3903 PORTAGE AVE #E, IN, 46628",INACTIVE,South Bend,IN,46628,502-935-6329,2022,RST2022-416
Restaurant (A-M) License,ONE STOP #3,1807 LINCOLN WAY E,RENEWED,SOUTH BEND,IN,46613,574-298-0277,2022,RST2022-502
Restaurant (A-M) License,MORRIS PARK COUNTRY CLUB,2200   MCKINLEY AVE,RENEWED,SOUTH BEND,IN,46615,574-233-9474,2020,414RESTAM2020
Restaurant (A-M) License,KNIGHTS OF COLUMBUS #553,553 E  WASHINGTON ST,RENEWED,SOUTH BEND,IN,46617,574-234-9800,2020,1700RESTAM2020
Restaurant (N-Z) License,"TORCH LOUNGE, INC",1817 S MICHIGAN ST,RENEWED,SOUTH BEND,IN,46613,574-234-6863,2022,RST2022-431
Restaurant (N-Z) License,PL EXPO BEER & WINE,4005 W WESTERN AVE,RENEWED,SOUTH BEND,IN,46619,574-310-9068,2021,RST2021-250
Restaurant (N-Z) License,RK CITY FOOD MART,301 N LAFAYETTE BLVD,ACTIVE,SOUTH BEND,IN,46601,574-287-5754,2023,RST2023-394
Secondhand Store License,4TRON ENTERPRISE INC.,301 S  LAFAYETTE BLVD,RENEWED,SOUTH BEND,IN,46601,574-288-5448,2021,SHN2021-005
Arborist License,LEONARD'S LANDSCAPE & TREE,16487 Jackson Rd,EXPIRED,MISHAWAKA,IN,46544,574-286-7232,2021,ARB2021-036
Restaurant (N-Z) License,Riley High School Concessions,"1902 FELLOWS ST, SOUTH BEND, IN, 46613",READY2ISSU,South Bend,IN,46613,574-393-5100,2023,RST2023-336
Massage Establishment License,EASTBANK MASSAGE LLC,904 E JEFFERSON BLVD,RENEWED,SOUTH BEND,IN,46617,574-213-8639,2020,MSE2020-003
Lawn Parking License,1203 WHITE OAK DR.,1203 WHITE OAK DR.,RENEWED,SOUTH BEND,IN,46617,NA,2022,LWN2022-061
Restaurant (A-M) License,Jimmy John's,"1234 N EDDY ST, SOUTH BEND, IN, 46617",RENEWED,SOUTH BEND,IN,46617,574-277-8500,2022,RST2022-195
Massage Therapist License,DONALD LEE NEELY,20945   DUNWOODY CT,CLOSED,SOUTH BEND,IN,46614,574-291-5536,2020,1694MSGTEC2020
Restaurant (N-Z) License,Rally's,"2021 S MICHIGAN ST,  SOUTH BEND,  46613",RENEWED,BABYON,NY,11702,574-234-3407,2020,RST2020-003
Restaurant (N-Z) License,SUPER MERCADO ROSALES,1518 S MICHIGAN ST,RENEWED,SOUTH BEND,IN,46613,574-234-5587,2022,RST2022-317
Restaurant (A-M) License,Los Humildes Mexican Restaurant,4319 W Western Ave,ACTIVE,South Bend,IN,46619,574-520-1980,2023,RST2023-084
Hotel and Motel License,INNISFREE BED & BREAKFAST,702 W  COLFAX AVE,RENEWED,SOUTH BEND,IN,46601,574-318-4838,2020,7868HOTEL2020
Restaurant (A-M) License,CROOKED EWE BREWERY & ALE HOUSE,1047 LINCOLN WAY E,ACTIVE,SOUTH BEND,IN,46601,574-217-0881,2023,RST2023-251
Restaurant (A-M) License,ALOFT - REFUEL AND WXYZ BAR,111 N MAIN ST,RENEWED,SOUTH BEND,IN,46601,574-288-8000,2021,RST2021-396
Restaurant (A-M) License,CHIPOTLE MEXICAN GRILL #1268,1251 N EDDY ST 101,RENEWED,South Bend,IN,46617,614-318-2482,2022,RST2022-149
Secondhand Store License,MICHIANA BATTERY,501 E SAMPLE ST,ACTIVE,SOUTH BEND,IN,46601,574-233-2590,2023,SHN2023-007
Automotive Repair License,Belle Way Sales & Service Inc,1705 S OLIVE ST,RENEWED,South Bend,IN,46613,574-287-6006,2021,AUT2021-021
Arborist License,"THE STANGER GROUP, INC.",15504 County Road 42,RENEWED,GOSHEN,IN,46528,574-642-3390,2021,ARB2021-008
Restaurant (N-Z) License,"Tony's Kitchen, LLC",643 LaPorte Ave.,RENEWED,South Bend,IN,46628,574-404-2908,2022,RST2022-536
Lawn Parking License,NA,1219 N. GARLAND ST.,INACTIVE,SOUTH BEND,IN,46617,NA,2021,LWN2021-008
Restaurant (A-M) License,BILL'S PLACE RESTAURANT,2105 W WESTERN AVE,RENEWED,SOUTH BEND,IN,46619,574-282-2002,2020,733RESTAM2020
Restaurant (A-M) License,JEANNIE'S TAVERN,621 S BENDIX DR,ACTIVE,SOUTH BEND,IN,46619,574-288-2962,2023,RST2023-205
Restaurant (A-M) License,HENSELL'S OAKEN BUCKET,1212 S  IRONWOOD DR,RENEWED,SOUTH BEND,IN,46615,574-289-1616,2020,412RESTAM2020
Restaurant (N-Z) License,TAIWAN HANLUNG INC / DBA CRE-ASIAN,1639 N IRONWOOD DR,RENEWED,SOUTH BEND,IN,46635,574-247-3000,2022,RST2022-027
Alarm Agent License,FASTENAL company,3218 SUGAR MAPLE BUSINESS CT,RENEWED,South Bend,IN,46628,507-453-8293,2021,ALR2021-027
Automotive Repair License,WESTERN AUTO SERVICE,3102 W WESTERN AVE,RENEWED,SOUTH BEND,IN,46619,574-383-5490,2021,AUT2021-073
Arborist License,Above & Beyond Tree and Shrubbery Service,"24961 SR 23 HWY, SOUTH BEND, 46614",RENEWED,SOUTH BEND,IN,46614,574-334-0521,2022,ARB2022-026
Restaurant (N-Z) License,THE ORIGINAL PANCAKE HOUSE,1430 N IRONWOOD DR,ACTIVE,South Bend,IN,46635,574-232-3220,2023,RST2023-374
Hotel and Motel License,"AVANTI MUSEUM AND GUEST HOUSE, LLC",900 THOMAS ST,RENEWED,SOUTH BEND,IN,46601,314-973-8686,2022,HTM2022-011
Restaurant (N-Z) License,SAINT JOSEPH CATHOLIC HIGH SCH,453 N  NOTRE DAME AVE,RENEWED,SOUTH BEND,IN,46617,574-233-6137,2020,869RESTZ2020
Restaurant (A-M) License,Macri's Italian Kitchen,"315 W IRELAND RD, SOUTH BEND, IN, 46614",RENEWED,South Bend,IN,46614,574-231-0200,2022,RST2022-092
Alarm Agent License,"INTERFACE SECURITY SYSTEMS, LL",3773 Corporate Centre Dr,RENEWED,EARTH CITY,MO,63045,314-595-0100,2020,5123ALARM2020
Restaurant (N-Z) License,Texas Roadhouse,"4635 S MICHIGAN ST, SOUTH BEND, 46614",ACTIVE,South Bend,IN,46614,574-291-7427,2023,RST2023-254
Peddlers and Canvassers License,MONNESE PLUMMER / FANCY DELIGHTS,1004 W. LASALLE AVE.,EXPIRED,SOUTH BEND,IN,46601,574-404-8222,2022,PDL2022-006
Restaurant (A-M) License,JIMMY JOHN'S,"3600 N PORTAGE RD, SOUTH BEND, 46628",RENEWED,SOUTH BEND,IN,46628,574-273-8000,2022,RST2022-197
Restaurant (N-Z) License,THE PRIZED PIG LLC,114 Lincolnway E,INACTIVE,MISHAWAKA,IN,46544,574-387-5624,2021,RST2021-287
Restaurant (A-M) License,Hacienda Mexican Restaurant,"4650 MIAMI ST, SOUTH BEND, 46614",ACTIVE,SOUTH BEND,IN,46614,574-273-3843,2023,RST2023-102
Tattoo/Body Piercing Artist License,NOAH HUTT,1016 S 30th St,ACTIVE,SOUTH BEND,IN,46615,574-621-8896,2023,TAA2023-005
Restaurant (A-M) License,ICHIBAN GOLDEN DRAGON,"1733 SOUTH BEND AVE, SOUTH BEND, IN, 46637",RENEWED,South Bend,IN,46637,574-272-8888,2022,RST2022-423
Restaurant (A-M) License,J J FISH & CHICKEN,1619 S MICHIGAN ST,ACTIVE,SOUTH BEND,IN,46615,574-735-7224,2023,RST2023-023
Restaurant (A-M) License,Edible Arrangements,"123 S MICHIGAN ST, SOUTH BEND, 46601",INACTIVE,South Bend,IN,46601,5742348182,2021,RST2021-304
Automotive Repair License,SPEEDY'S AUTO  LLC,4001 W SAMPLE ST,RENEWED,SOUTH BEND,IN,46619,574-234-1809,2022,AUT2022-056
Automotive Repair License,AVINA'S BODY SHOP,1402 W WESTERN AVE,RENEWED,SOUTH BEND,IN,46619,574-232-0006,2021,AUT2021-022
Arborist License,HIGHER GROUND TREE CARE LLC,12586 HEATHER PARK DR,RENEWED,GRANGER,IN,46530,574-276-6359,2022,ARB2022-025
Restaurant (A-M) License,ALWAYS OPEN,2130 MISHAWAKA AVE,RENEWED,SOUTH BEND,IN,46615,574-234-8444,2020,RST2020-056
Taxi Driver License,Amane Djoubar / Eagle Cab LLC,1657 COMMERCE DR.,READY2ISSU,SOUTH BEND,IN,46628,574-287-6666,2022,TXD2022-017
Alarm Agent License,ADT LLC DBA PROTECTION ONE,2418 VIRIDIAN DR.,RENEWED,FISHERS,IN,46037,561-226-3437,2022,ALR2022-003
Restaurant (N-Z) License,Studebaker Golf Course,"718 E CALVERT ST, SOUTH BEND, IN, 46613",RENEWED,South Bend,IN,46613,574-287-6634,2022,RST2022-433
Lawn Parking License,1241 BLACK OAK DR.,1241 BLACK OAK DR.,INACTIVE,SOUTH BEND,IN,46617,NA,2021,LWN2021-003
Automotive Repair License,Gates Toyota Inc,640 W IRELAND RD,RENEWED,SOUTH BEND,IN,46614,574-299-7400,2022,AUT2022-048
Restaurant (A-M) License,EVANGEL HEIGHTS UNITED METHODIST CHURCH,"114 N IRONWOOD DR, SOUTH BEND, IN, 46615",RENEWED,South Bend,IN,46615,574-234-8379,2021,RST2021-073
Restaurant (A-M) License,"FIDDLER'S HEARTH, INC",127 N  MAIN ST,RENEWED,SOUTH BEND,IN,46601,574-232-2853,2020,219RESTAM2020
Automotive Repair License,ADAN'S AUTO SALES AND SERVICE,"3922 W WESTERN AVE, SOUTH BEND, IN 46619",RENEWED,SOUTH BEND,IN,46619,219-379-6765,2020,8576AUTO2020
Arborist License,WATSON'S TREE SERVICE,2953 Detroit Rd,RENEWED,NILES,MI,49120,269-683-5305,2020,928ARBOR2020
Taxi Company License,EAGLE CAB LLC,1657 COMMERCE DR.,RENEWED,SOUTH BEND,IN,46628,574-287-6666,2021,TAX2021-002
Restaurant (N-Z) License,PENN STATION EAST COAST SUBS,2202 SOUTH BEND AVE,ACTIVE,SOUTH BEND,IN,46635,574-855-2432,2023,RST2023-292
Tattoo/Body Piercing Artist License,NICOLE DANIELLE MCFADDEN,710 PATTERSON DR,RENEWED,SOUTH BEND,IN,46615,574-309-7475,2021,TAA2021-004
Restaurant (N-Z) License,NEW CHINA HY RESTAURANT LLC,920 ERSKINE PLZ,RENEWED,SOUTH BEND,IN,46614,574-291-9324,2020,RST2020-012
Automotive Repair License,Hedman Tire and Auto,"135 N LAFAYETTE BLVD, SOUTH BEND, IN, 46601",RENEWED,South Bend,IN,46614,5745961297,2020,AUT2020-007
Restaurant (A-M) License,SOUTHHOLD LLC,121 S  DR MARTIN LUTHER KING JR BLVD,RENEWED,SOUTH BEND,IN,46601,574-237-7777,2020,8299RESTAM2020
Restaurant (A-M) License,Embassy Suites - Amenity Deck,"1140 E ANGELA BLVD, SOUTH BEND, 46617",RENEWED,South Bend,IN,46617,5744002600,2021,RST2021-173
Restaurant (N-Z) License,ORIENTAL EXPRESS,1229 E  IRELAND RD,RENEWED,SOUTH BEND,IN,46614,574-291-5588,2020,5207RESTZ2020
Alarm Agent License,MELALEUCA SECURITY INC.,4609 W 65th S,RENEWED,IDAHO FALLS,ID,83402,877-760-3444,2021,ALR2021-024
Restaurant (A-M) License,BORDER'S DAIRY QUEEN,1847 LINCOLN WAY E,RENEWED,SOUTH BEND,IN,46613,574-287-3952,2020,763RESTAM2020
Restaurant (A-M) License,BROTHERS BAR & GRILL,"1234 N EDDY ST, SUITE 125",RENEWED,South Bend,IN,46617,574-287-2767,2021,RST2021-056
Alarm Agent License,AUTOZONE SECURITY,123 S Front St,RENEWED,MEMPHIS,TN,38103,901-495-7273,2020,2680ALARM2020
Restaurant (N-Z) License,RK CITY FOOD MART,301 N LAFAYETTE BLVD,RENEWED,SOUTH BEND,IN,46601,574-287-5754,2022,RST2022-511
Peddlers and Canvassers License,ALDER HOLDINGS INC.,"450 N. 1500 W. OREM, UT  84057",INACTIVE,OREM,UT,84057,385-218-2754,2021,PDL2021-024
Automotive Repair License,MARK'S AUTO CARE CENTER,2604 S MAIN ST,RENEWED,SOUTH BEND,IN,46614,574-232-0330,2021,AUT2021-023
Lawn Parking License,701 E. HOWARD ST.,701 E. HOWARD ST.,EXPIRED,SOUTH BEND,IN,46617,NA,2022,LWN2022-064
Restaurant (A-M) License,KENTUCKY FRIED CHICKEN,4207 S MICHIGAN ST,RENEWED,SOUTH BEND,IN,46614,214-440-4144,2021,RST2021-328
Tattoo/Body Piercing Artist License,NOAH HUTT,1016 S 30th St,RENEWED,SOUTH BEND,IN,46615,574-621-8896,2021,TAA2021-006
Restaurant (A-M) License,KILWIN'S CHOCOLATES & ICE CREA,1044 E  ANGELA BLVD,CLOSED,SOUTH BEND,IN,46617,574-234-1212,2020,4298RESTAM2020
Massage Therapist License,RACHAEL ELIZABETH THOMPSON,618 S 35TH ST,ACTIVE,SOUTH BEND,IN,46615,574-344-3664,2023,MST2023-014
Restaurant (N-Z) License,PILOT TRAVEL CENTER #035,6424 W BRICK RD,RENEWED,SOUTH BEND,IN,46628,574-272-8212,2022,RST2022-205
Restaurant (A-M) License,Frick’s DQ Grill & Chill,"3907 S MICHIGAN ST, SOUTH BEND, IN, 46614",RENEWED,South Bend,IN,46615,574-291-2330,2022,RST2022-110
Restaurant (A-M) License,Golden Dragon,"3302 PORTAGE AVE D, IN, 46628",RENEWED,SOUTH BEND,IN,46628,574-243-8800,2021,RST2021-219
Restaurant (A-M) License,Arby's #1157,3425 Lincoln Way W,ACTIVE,South Bend,IN,46628,574-233-5592,2023,RST2023-179
Restaurant (A-M) License,Mex Express,"1807 S IRONWOOD DR, SOUTH BEND, 46613",ACTIVE,SOUTH BEND,IN,46613,574-387-5415,2023,RST2023-064
Arborist License,DOUGLAS LANDSCAPE INC,23590 ARDMORE TRL,ACTIVE,SOUTH BEND,IN,46628,574-287-8908,2023,ARB2023-023
Secondhand Store License,GameStop #5544,1290 E IRELAND RD,ACTIVE,SOUTH BEND,IN,46614,574-231-9117,2023,SHN2023-004
Restaurant (A-M) License,Test Restaurant 23,"1220 E ANGELA BLVD, SOUTH BEND, IN, 46617",READY2ISSU,South Bend,IN,60615,2192192199,2023,RST2023-025
Restaurant (A-M) License,C and G Dream Team,1923 Lincoln Way W,INACTIVE,South Bend,IN,46628,317-588-4177,2021,RST2021-457
Alarm Agent License,IRON CLAD SECURITY,12748 Sandy Dr,RENEWED,GRANGER,IN,46530,574-272-5337,2022,ALR2022-017
Food Vending Machine License,"AVI FOODSYSTEMS, INC.",2590 Elm Rd NE,RENEWED,WARREN,OH,44483,330-372-6000,2020,7066VDGMCH2020
Secondhand Store License,ECOATM LLC,"4526 W WESTERN AVE, SOUTH BEND, IN, 46619",RENEWED,SOUTH BEND,IN,46619,858-766-7250,2021,SHN2021-010
Restaurant (N-Z) License,"Y.W.C.A. NORTH CENTRAL INDIANA, INC.",1102 FELLOWS ST,RENEWED,SOUTH BEND,IN,46601,574-233-9491,2021,RST2021-208
Automotive Repair License,Brett Gordon's Towing and Repair,"2018 S FRANKLIN ST, SOUTH BEND, 46613",RENEWED,South Bend,IN,46613,574-274-2152,2022,AUT2022-038
Restaurant (A-M) License,THE HIDEAWAY AT THE LASALLE,237 N. MARTIN LUTHER KING JR. BLVD.,RENEWED,SOUTH BEND,IN,46601,574-274-0993,2022,RST2022-017
Restaurant (A-M) License,"LA FONDA DE LA MIAMI, LLC",2007 MIAMI ST,RENEWED,SOUTH BEND,IN,46613,574-855-2103,2020,RST2020-057
Restaurant (N-Z) License,The Skillet,"2212 McKinley Ave, South Bend, Indiana, 46615",READY2ISSU,South Bend,IN,46615,574-234-6069,2023,RST2023-282
Massage Establishment License,CHINESE MASSAGE SPA,"2614 S MICHIGAN ST,  SOUTH BEND,  46614",CLOSED,SOUTH BEND,IN,46614,574-514-0242,2022,MSE2022-009
Automotive Repair License,BELLE TIRE DISTRIBUTORS INC.,3660   PORTAGE AVE,RENEWED,SOUTH BEND,IN,46628,574-314-5226,2021,AUT2021-048
Restaurant (A-M) License,Boys and Girls Clubs of St Joseph County,502 E SAMPLE ST,EXPIRED,South Bend,IN,46601,574-232-2048,2022,RST2022-534
Restaurant (A-M) License,LASALLE INTERMEDIATE ACADEMY,2701 ELWOOD AVE,EXPIRED,SOUTH BEND,IN,46628,574-393-4721,2022,RST2022-452
Restaurant (A-M) License,BURGER KING #7055,2171 SOUTH BEND AVE,RENEWED,MISHAWAKA,IN,46545,574-273-2220,2020,701RESTAM2020
Alarm Agent License,"MARTIN SECURITY SYSTEMS, INC.",552 W Lincolnway,CLOSED,VALPARAISO,IN,46384,219-464-4364,2020,5347ALARM2020
Automotive Repair License,AVINA'S BODY SHOP,1402 W WESTERN AVE,ACTIVE,SOUTH BEND,IN,46619,574-232-0006,2023,AUT2023-038
Restaurant (N-Z) License,Starbucks,"123 N Dr Martin Luther King Jr Blvd, South Bend, Indiana, 46601",RENEWED,South Bend,IN,46601,574-245-7272,2021,RST2021-046
